Carrier Code,Bookings
0B,50437.0
1A,21.0
2A,128.0
2H,11.0
2I,1452.0
2J,149.0
2L,134.0
2M,272.0
2N,2714.0
2P,3375.0
2Z,4.0
3B,895.0
3E,84.0
3J,12.0
3K,4741.0
3M,1422.0
3O,72.0
3S,2048.0
3U,8228.0
4A,6.0
4B,151.0
4D,8.0
4M,304.0
4N,10.0
4O,13802.0
4U,-84.0
5F,2498.0
5H,516.0
5J,35.0
5N,1119.0
5O,41.0
5P,18.0
5T,53.0
5U,1904.0
5W,39.0
5Z,1176.0
6E,20.0
6H,2498.0
6I,43.0
6S,1.0
7C,10.0
7F,98.0
7H,24.0
7I,3049.0
7J,2.0
7M,214.0
7N,332.0
7R,3207.0
7W,64.0
7Y,8.0
8L,167.0
8M,2188.0
8P,17.0
8Q,21611.0
8U,30.0
9B,47578.0
9F,82.0
9K,353.0
9M,21.0
9N,469.0
9U,22649.0
9V,17460.0
9W,147941.0
9X,17.0
A0,1.0
A1,22.0
A2,82.0
A3,332586.0
A5,34757.0
A9,29657.0
AA,251650.0
AB,-2048.0
AC,262786.0
AD,25334.0
AE,671.0
AF,774873.0
AG,1059.0
AH,54173.0
AI,185700.0
AK,111.0
AM,92506.0
AR,57231.0
AS,58129.0
AT,230012.0
AV,123980.0
AW,69.0
AY,464842.0
AZ,897176.0
B0,169.0
B1,-34.0
B2,77654.0
B5,99.0
B6,9476.0
B7,28.0
B8,121.0
BA,454917.0
BB,345.0
BD,1031.0
BE,36856.0
BF,337.0
BG,1573.0
BI,4243.0
BJ,10023.0
BL,646.0
BM,18139.0
BP,2631.0
BR,26052.0
BT,201762.0
BV,5795.0
BW,5103.0
CA,286458.0
CC,496.0
CD,11.0
CE,1242.0
CG,128.0
CI,31188.0
CM,94112.0
CN,2.0
CO,89026.0
CU,4319.0
CX,148863.0
CY,5133.0
CZ,176516.0
D2,49.0
D4,42.0
D7,7.0
D8,212947.0
DD,54.0
DE,39959.0
DI,15472.0
DL,156115.0
DN,54.0
DT,7772.0
DV,10095.0
DX,237.0
DY,178618.0
E9,56.0
EB,4477.0
EI,42499.0
EK,476242.0
EL,75480.0
EN,25679.0
EQ,13272.0
ET,159119.0
EU,1.0
EW,56440.0
EY,277529.0
F7,-1.0
F8,692.0
F9,9.0
FA,1018.0
FB,30922.0
FD,476.0
FE,4.0
FI,62218.0
FJ,16601.0
FM,16178.0
FN,350.0
FP,42.0
FR,13305.0
FZ,44145.0
G3,37070.0
G9,6.0
GA,34099.0
GF,227621.0
GK,366.0
GL,1079.0
GM,982.0
GP,2866.0
GQ,24253.0
GR,683.0
GS,3096.0
GZ,62.0
H1,23333.0
H2,1000.0
H9,273.0
HA,28413.0
HF,578.0
HG,227.0
HM,7891.0
HO,3837.0
HQ,-96.0
HR,14.0
HU,18512.0
HV,190.0
HX,5386.0
HY,33294.0
HZ,1745.0
IA,12.0
IB,642763.0
ID,2200.0
IE,180.0
IG,10061.0
IR,9556.0
IT,2.0
IZ,11885.0
J2,48058.0
J9,11.0
JD,2008.0
JE,8.0
JG,16.0
JJ,23524.0
JL,83190.0
JP,41960.0
JQ,2276.0
JS,1.0
JT,8.0
JU,119281.0
JV,2.0
JY,1168.0
K6,11906.0
K7,1.0
KA,17775.0
KB,6.0
KC,79686.0
KE,32551.0
KK,74265.0
KL,1002167.0
KM,143403.0
KP,6214.0
KQ,73670.0
KS,5.0
KU,70793.0
KX,1136.0
L6,170.0
LA,244789.0
LF,3.0
LG,32955.0
LH,1346422.0
LI,5232.0
LJ,21.0
LM,5330.0
LN,44.0
LO,466920.0
LQ,716.0
LR,-45.0
LX,493005.0
LY,71217.0
M9,11766.0
MD,6158.0
ME,58321.0
MF,15435.0
MH,44749.0
MI,26212.0
MK,31145.0
MM,4.0
MN,6160.0
MR,11.0
MS,180692.0
MT,9363.0
MU,242566.0
MW,1408.0
N4,21.0
NF,940.0
NH,61821.0
NK,80.0
NP,12564.0
NS,66.0
NT,23262.0
NU,1380.0
NX,2793.0
NY,621.0
NZ,42227.0
O6,14592.0
OA,192.0
OB,9566.0
OD,37993.0
OE,59.0
OK,143452.0
OL,7.0
OM,3948.0
OR,5606.0
OS,326563.0
OU,70110.0
OV,1.0
OY,22078.0
OZ,31371.0
P0,983.0
P9,11887.0
PB,9.0
PC,162843.0
PD,1939.0
PE,136.0
PG,156828.0
PK,4496.0
PL,2.0
PM,5.0
PN,191.0
PR,166767.0
PS,258459.0
PU,3665.0
PW,11932.0
PX,6410.0
PY,7074.0
PZ,728.0
QC,105.0
QD,1101.0
QF,83089.0
QR,510065.0
QS,21527.0
QV,4240.0
QZ,51.0
R3,2111.0
R5,3.0
R7,8.0
RA,472.0
RC,241.0
RJ,72251.0
RO,96484.0
RQ,27.0
S2,27.0
S3,-21.0
S4,20415.0
S7,48578.0
SA,46645.0
SB,2605.0
SC,1923.0
SE,27544.0
SF,16.0
SG,23.0
SK,748159.0
SL,2178.0
SM,2199.0
SN,290138.0
SP,11553.0
SQ,199847.0
SS,25996.0
ST,50460.0
SU,714707.0
SV,135791.0
SW,11654.0
SX,3490.0
SY,4062.0
SZ,287.0
T5,1.0
T7,862.0
TA,3423.0
TB,5393.0
TC,4.0
TF,52184.0
TG,203255.0
TI,6.0
TJ,29.0
TK,1228892.0
TL,365.0
TM,2299.0
TN,4290.0
TO,13508.0
TP,589666.0
TR,11447.0
TS,24885.0
TU,103965.0
TV,3.0
TX,39554.0
TZ,-6.0
U2,61619.0
U6,143270.0
U8,2532.0
UA,342344.0
UB,313.0
UG,505.0
UH,3951.0
UI,25.0
UJ,4806.0
UK,2366.0
UL,55452.0
UM,9.0
UO,1534.0
UP,2057.0
UT,116259.0
UU,21304.0
UX,568716.0
V7,27564.0
VA,94044.0
VJ,1382.0
VK,1152.0
VL,271.0
VN,77856.0
VO,2.0
VR,4394.0
VS,89479.0
VT,2926.0
VW,1756.0
VX,4134.0
VY,80324.0
VZ,16.0
W2,19382.0
W4,346.0
W5,2.0
W6,572.0
WB,11948.0
WE,568.0
WF,37174.0
WG,157.0
WM,2307.0
WN,163.0
WP,-5.0
WS,33796.0
WW,15218.0
WX,4543.0
WY,316036.0
WZ,42.0
X3,2632.0
XC,16.0
XG,6735.0
XK,30310.0
XL,4385.0
XQ,35194.0
XR,4.0
XT,28.0
XW,8.0
XX,1.0
XY,7486.0
Y7,411.0
YC,218.0
YE,11347.0
YH,8.0
YJ,10.0
YK,2.0
YM,23584.0
YN,4.0
YU,12.0
YY,2.0
Z2,8.0
Z6,-27.0
Z8,2.0
Z9,103.0
ZE,5.0
ZH,7865.0
ZI,71589.0
ZK,4.0
ZL,39.0
ZM,5969.0
